id_entretenimiento,fecha_inicio,fecha_fin,cuit
2,2025-04-01 06:24:15,2025-10-07 00:00:00,204272528809
4,2025-07-02 03:24:52,2025-12-09 00:00:00,204559321289
6,2025-05-17 21:24:57,2026-02-05 00:00:00,202272849424
7,2025-04-18 23:07:33,2025-08-28 00:00:00,204559321289
8,2025-02-25 23:52:56,2025-04-27 00:00:00,204921794983
11,2025-07-06 08:26:15,2025-12-01 00:00:00,204010258946
12,2025-05-21 08:03:34,2026-02-10 00:00:00,203639042338
14,2025-04-15 18:20:53,2026-05-06 00:00:00,202049310608
15,2025-07-02 05:42:33,2025-08-26 00:00:00,204921794983
19,2025-04-29 02:04:35,2025-10-25 00:00:00,204272528809
22,2025-08-01 20:51:03,2025-11-07 00:00:00,202049310608
23,2025-05-18 05:45:13,2025-08-25 00:00:00,204010258946
30,2025-06-27 11:42:10,2025-06-30 00:00:00,203652563013
31,2025-06-15 08:14:14,2025-10-04 00:00:00,204010258946
32,2025-06-04 13:53:44,2026-01-02 00:00:00,204559321289
33,2025-04-04 16:13:11,2025-05-31 00:00:00,204376087131
35,2025-06-06 18:36:35,2025-10-18 00:00:00,205697020653
36,2025-06-05 02:16:57,2025-09-29 00:00:00,204921794983
38,2025-07-23 01:40:12,2026-01-03 00:00:00,205095476665
39,2025-06-20 01:05:38,2025-09-25 00:00:00,203079815404
42,2025-06-26 17:00:33,2025-10-21 00:00:00,204922644564
46,2025-04-19 16:25:06,2026-02-11 00:00:00,203079815404
48,2025-04-27 19:54:46,2025-06-07 00:00:00,203813163240
50,2025-05-01 01:27:31,2025-09-26 00:00:00,204561557300
